1;FPS;50;400;80;405;150;45;150;45
1;RESOLUTION;50;480;65;485;280;45
1;CONTROLS;50;560;70;565;240;45
1;.;500;260;500;265;800;600
1;.;1435;420;1405;455;65;65
1;.;1460;500;1405;105;20;230
1;.;1635;420;1605;455;65;65
1;.;1660;500;1500;105;20;230
1;30;620;460;680;465;150;45
1;60;820;460;870;465;150;45
1;120;1020;460;1070;465;150;45
1;1920 x 1080;750;460;790;465;300;45
1;Fullscreen;750;560;790;565;300;45
1;UP: Z;650;360;660;365;110;45
1;LEFT: Q;650;420;660;425;180;45
1;DOWN: S;650;480;660;485;180;45
1;RIGHT: D;650;540;660;545;190;45
1;BACK;1700;40;1725;45;150;45
